0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.0080 0.3818 39.7885 3.6221 18.7013 0.0204 99.9467 19782
0.0080 0.3725 38.8154 3.6199 18.7000 0.0199 99.9480 19832
0.0090 0.3725 34.5026 3.6199 18.7000 0.0199 99.9538 19882
0.0100 0.3725 31.0503 3.6183 18.6987 0.0199 99.9584 19932
0.0090 0.3725 34.5003 3.6183 18.6987 0.0199 99.9538 19982
0.0070 0.3725 44.3575 3.6183 18.6987 0.0199 99.9405 20033
0.0080 0.3725 38.8102 3.6166 18.6975 0.0199 99.9480 20083
0.0070 0.3725 44.3546 3.6166 18.6975 0.0199 99.9405 20133
0.0080 0.3725 38.8102 3.6166 18.6975 0.0199 99.9480 20183
0.0080 0.3724 38.8077 3.6149 18.6963 0.0199 99.9480 20233
0.0070 0.3724 44.3516 3.6149 18.6963 0.0199 99.9405 20283
0.0080 0.3724 38.8077 3.6149 18.6963 0.0199 99.9480 20333
0.0080 0.3724 38.8051 3.6133 18.6950 0.0199 99.9480 20383
0.0080 0.3724 38.8051 3.6133 18.6950 0.0199 99.9480 20433
0.0070 0.3724 44.3486 3.6133 18.6950 0.0199 99.9405 20483
0.0070 0.3631 43.2370 3.6111 18.6938 0.0194 99.9420 20533
0.0060 0.3631 50.4432 3.6111 18.6938 0.0194 99.9324 20584
0.0080 0.3724 38.7999 3.6099 18.6925 0.0199 99.9480 20634
0.0080 0.3724 38.7999 3.6099 18.6925 0.0199 99.9480 20684
0.0070 0.3724 44.3427 3.6099 18.6925 0.0199 99.9405 20734
0.0070 0.3723 44.3397 3.6083 18.6912 0.0199 99.9405 20784
0.0070 0.3723 44.3397 3.6083 18.6912 0.0199 99.9405 20834
0.0070 0.3723 44.3397 3.6083 18.6912 0.0199 99.9405 20884
0.0070 0.3723 44.3368 3.6066 18.6900 0.0199 99.9405 20934
0.0070 0.3723 44.3368 3.6066 18.6900 0.0199 99.9405 20984
0.0070 0.3723 44.3368 3.6066 18.6900 0.0199 99.9405 21034
0.0060 0.3630 50.4297 3.6044 18.6887 0.0194 99.9324 21084
